Experiment name: EXP_0_1
Epoch [137/400], Average Loss: 4.7900e-04, Test Loss: 4.5301e-04, Current_LR:0.0004
Epoch [138/400], Average Loss: 4.7415e-04, Test Loss: 4.5343e-04, Current_LR:0.0004
Epoch [139/400], Average Loss: 4.7267e-04, Test Loss: 4.7251e-04, Current_LR:0.0004
Epoch [140/400], Average Loss: 4.7341e-04, Test Loss: 4.6345e-04, Current_LR:0.0004
Epoch [141/400], Average Loss: 4.7210e-04, Test Loss: 4.4663e-04, Current_LR:0.0004
Epoch [142/400], Average Loss: 4.6958e-04, Test Loss: 4.6301e-04, Current_LR:0.0004
Epoch [143/400], Average Loss: 4.7350e-04, Test Loss: 4.5187e-04, Current_LR:0.0004
Epoch [144/400], Average Loss: 4.6977e-04, Test Loss: 4.5927e-04, Current_LR:0.0004
Epoch [145/400], Average Loss: 4.7234e-04, Test Loss: 4.5257e-04, Current_LR:0.0004
Epoch [146/400], Average Loss: 4.7047e-04, Test Loss: 4.5285e-04, Current_LR:0.0004
Epoch [147/400], Average Loss: 4.7229e-04, Test Loss: 4.9120e-04, Current_LR:0.0004
Epoch [148/400], Average Loss: 4.7202e-04, Test Loss: 4.5978e-04, Current_LR:0.0004
Epoch [149/400], Average Loss: 4.6980e-04, Test Loss: 4.6867e-04, Current_LR:0.0004
Epoch [150/400], Average Loss: 4.7410e-04, Test Loss: 4.4997e-04, Current_LR:0.0003
Epoch [151/400], Average Loss: 4.6792e-04, Test Loss: 4.8375e-04, Current_LR:0.0003
Epoch [152/400], Average Loss: 4.7335e-04, Test Loss: 4.7270e-04, Current_LR:0.0003
Epoch [153/400], Average Loss: 4.6609e-04, Test Loss: 4.4588e-04, Current_LR:0.0003
Epoch [154/400], Average Loss: 4.6599e-04, Test Loss: 4.4744e-04, Current_LR:0.0003
Epoch [155/400], Average Loss: 4.6425e-04, Test Loss: 4.7052e-04, Current_LR:0.0003
Epoch [156/400], Average Loss: 4.7031e-04, Test Loss: 4.4589e-04, Current_LR:0.0003
Epoch [157/400], Average Loss: 4.6577e-04, Test Loss: 4.9380e-04, Current_LR:0.0003
Epoch [158/400], Average Loss: 4.6243e-04, Test Loss: 4.6902e-04, Current_LR:0.0003
Epoch [159/400], Average Loss: 4.6048e-04, Test Loss: 4.7254e-04, Current_LR:0.0003
Epoch [160/400], Average Loss: 4.6235e-04, Test Loss: 4.4514e-04, Current_LR:0.0003
Epoch [161/400], Average Loss: 4.6285e-04, Test Loss: 4.4505e-04, Current_LR:0.0003
Epoch [162/400], Average Loss: 4.6662e-04, Test Loss: 4.4680e-04, Current_LR:0.0003
Epoch [163/400], Average Loss: 4.6117e-04, Test Loss: 4.5034e-04, Current_LR:0.0003
Epoch [164/400], Average Loss: 4.6034e-04, Test Loss: 4.4221e-04, Current_LR:0.0003
Epoch [165/400], Average Loss: 4.6581e-04, Test Loss: 4.5795e-04, Current_LR:0.0003
Epoch [166/400], Average Loss: 4.6007e-04, Test Loss: 4.6073e-04, Current_LR:0.0003
Epoch [167/400], Average Loss: 4.6040e-04, Test Loss: 4.4526e-04, Current_LR:0.0003
Epoch [168/400], Average Loss: 4.6112e-04, Test Loss: 4.5205e-04, Current_LR:0.0003
Epoch [169/400], Average Loss: 4.6132e-04, Test Loss: 4.4524e-04, Current_LR:0.0003
Epoch [170/400], Average Loss: 4.6219e-04, Test Loss: 4.4610e-04, Current_LR:0.0003
Epoch [171/400], Average Loss: 4.6266e-04, Test Loss: 4.4449e-04, Current_LR:0.0003
Epoch [172/400], Average Loss: 4.5594e-04, Test Loss: 4.4761e-04, Current_LR:0.0003
Epoch [173/400], Average Loss: 4.5773e-04, Test Loss: 4.9032e-04, Current_LR:0.0003
Epoch [174/400], Average Loss: 4.5996e-04, Test Loss: 4.4561e-04, Current_LR:0.0003
Epoch [175/400], Average Loss: 4.5546e-04, Test Loss: 4.4181e-04, Current_LR:0.0003
Epoch [176/400], Average Loss: 4.5665e-04, Test Loss: 4.5492e-04, Current_LR:0.0003
Epoch [177/400], Average Loss: 4.5795e-04, Test Loss: 4.4975e-04, Current_LR:0.0003
Epoch [178/400], Average Loss: 4.5534e-04, Test Loss: 4.4275e-04, Current_LR:0.0003
Epoch [179/400], Average Loss: 4.5835e-04, Test Loss: 4.6278e-04, Current_LR:0.0003
Epoch [180/400], Average Loss: 4.5940e-04, Test Loss: 4.4764e-04, Current_LR:0.0003
Epoch [181/400], Average Loss: 4.5465e-04, Test Loss: 4.6075e-04, Current_LR:0.0003
Epoch [182/400], Average Loss: 4.5526e-04, Test Loss: 4.6360e-04, Current_LR:0.0003
Epoch [183/400], Average Loss: 4.5569e-04, Test Loss: 4.4017e-04, Current_LR:0.0003
Epoch [184/400], Average Loss: 4.5627e-04, Test Loss: 4.5126e-04, Current_LR:0.0003
Epoch [185/400], Average Loss: 4.5434e-04, Test Loss: 4.4981e-04, Current_LR:0.0003
Epoch [186/400], Average Loss: 4.5666e-04, Test Loss: 4.4449e-04, Current_LR:0.0003
Epoch [187/400], Average Loss: 4.5339e-04, Test Loss: 4.5275e-04, Current_LR:0.0003
